fecha,y,exog_1,exog_2
01-01-1949,112,1,1
02-01-1949,118,1,1
03-01-1949,132,1,1
04-01-1949,129,1,1
05-01-1949,121,1,1
06-01-1949,135,1,1
07-01-1949,148,1,1
08-01-1949,148,1,1
09-01-1949,136,1,1
10-01-1949,119,1,1
11-01-1949,104,1,1
12-01-1949,118,1,1
01-01-1950,115,1,1
02-01-1950,126,1,1
03-01-1950,141,1,1
04-01-1950,135,1,1
05-01-1950,125,1,1
06-01-1950,149,1,1
07-01-1950,170,1,1
08-01-1950,170,1,1
09-01-1950,158,1,1
10-01-1950,133,1,1
11-01-1950,114,1,1
12-01-1950,140,1,1
01-01-1951,145,1,1
02-01-1951,150,1,1
03-01-1951,178,1,1
04-01-1951,163,1,1
05-01-1951,172,1,1
06-01-1951,178,1,1
07-01-1951,199,1,1
08-01-1951,199,1,1
09-01-1951,184,1,1
10-01-1951,162,1,1
11-01-1951,146,1,1
12-01-1951,166,1,1
01-01-1952,171,1,1
02-01-1952,180,1,1
03-01-1952,193,1,1
04-01-1952,181,1,1
05-01-1952,183,1,1
06-01-1952,218,1,1
07-01-1952,230,1,1
08-01-1952,242,1,1
09-01-1952,209,1,1
10-01-1952,191,1,1
11-01-1952,172,1,1
12-01-1952,194,1,1
01-01-1953,196,1,1
02-01-1953,196,1,1
03-01-1953,236,1,1
04-01-1953,235,1,1
05-01-1953,229,1,1
06-01-1953,243,1,1
07-01-1953,264,1,1
08-01-1953,272,1,1
09-01-1953,237,1,1
10-01-1953,211,1,1
11-01-1953,180,1,1
12-01-1953,201,1,1
01-01-1954,204,1,1
02-01-1954,188,1,1
03-01-1954,235,1,1
04-01-1954,227,1,1
05-01-1954,234,1,1
06-01-1954,264,1,1
07-01-1954,302,1,1
08-01-1954,293,1,1
09-01-1954,259,1,1
10-01-1954,229,1,1
11-01-1954,203,1,1
12-01-1954,229,1,1
01-01-1955,242,1,1
02-01-1955,233,1,1
03-01-1955,267,1,1
04-01-1955,269,1,1
05-01-1955,270,1,1
06-01-1955,315,1,1
07-01-1955,364,1,1
08-01-1955,347,1,1
09-01-1955,312,1,1
10-01-1955,274,1,1
11-01-1955,237,1,1
12-01-1955,278,1,1
01-01-1956,284,1,1
02-01-1956,277,1,1
03-01-1956,317,1,1
04-01-1956,313,1,1
05-01-1956,318,1,1
06-01-1956,374,1,1
07-01-1956,413,1,1
08-01-1956,405,1,1
09-01-1956,355,1,1
10-01-1956,306,1,1
11-01-1956,271,1,1
12-01-1956,306,1,1
01-01-1957,315,1,1
02-01-1957,301,1,1
03-01-1957,356,1,1
04-01-1957,348,1,1
05-01-1957,355,1,1
06-01-1957,422,1,1
07-01-1957,465,1,1
08-01-1957,467,1,1
09-01-1957,404,1,1
10-01-1957,347,1,1
11-01-1957,305,1,1
12-01-1957,336,1,1
01-01-1958,340,1,1
02-01-1958,318,1,1
03-01-1958,362,1,1
04-01-1958,348,1,1
05-01-1958,363,1,1
06-01-1958,435,1,1
07-01-1958,491,1,1
08-01-1958,505,1,1
09-01-1958,404,1,1
10-01-1958,359,1,1
11-01-1958,310,1,1
12-01-1958,337,1,1
01-01-1959,360,1,1
02-01-1959,342,1,1
03-01-1959,406,1,1
04-01-1959,396,1,1
05-01-1959,420,1,1
06-01-1959,472,1,1
07-01-1959,548,1,1
08-01-1959,559,1,1
09-01-1959,463,1,1
10-01-1959,407,1,1
11-01-1959,362,1,1
12-01-1959,405,1,1
01-01-1960,417,1,1
02-01-1960,391,1,1
03-01-1960,419,1,1
04-01-1960,461,1,1
05-01-1960,472,1,1
06-01-1960,535,1,1
07-01-1960,622,1,1
08-01-1960,606,1,1
09-01-1960,508,1,1
10-01-1960,461,1,1
11-01-1960,390,1,1
12-01-1960,432,1,1
